week,product,region,units_sold,price,promotion
2022-03-13,Tablet,South,139,402.94,0
2022-03-13,Tablet,Central,250,329.18,0
2022-03-13,Tablet,East,171,784.21,0
2022-03-13,Tablet,West,76,413.98,1
2022-03-13,Headphones,North,160,847.56,1
2022-03-13,Headphones,South,218,944.51,0
2022-03-13,Headphones,Central,169,159.85,0
2022-03-13,Headphones,East,258,225.8,0
2022-03-13,Headphones,West,212,281.46,0
2022-03-20,Smartphone,North,219,698.68,0
2022-03-20,Smartphone,South,178,422.95,1
2022-03-20,Smartphone,Central,260,495.22,0
2022-03-20,Smartphone,East,179,516.41,0
2022-03-20,Smartphone,West,200,308.99,1
2022-03-20,Smartwatch,North,283,445.5,0
2022-03-20,Smartwatch,South,211,205.21,1
2022-03-20,Smartwatch,Central,238,664.94,0
2022-03-20,Smartwatch,East,216,658.07,0
2022-03-20,Smartwatch,West,179,904.5,0
2022-03-20,Tablet,North,177,323.64,0
2022-03-20,Tablet,South,157,130.18,0
2022-03-20,Tablet,Central,223,407.87,1
2022-03-20,Tablet,East,216,199.57,1
2022-03-20,Tablet,West,186,817.57,0
2022-03-20,Headphones,North,151,306.33,0
2022-03-20,Headphones,South,243,724.55,0
2022-03-20,Headphones,Central,267,326.62,0
2022-03-20,Headphones,East,111,515.81,1
2022-03-20,Headphones,West,274,238.02,0
2022-03-27,Smartphone,North,322,116.3,1
2022-03-27,Smartphone,South,206,938.91,0
2022-03-27,Smartphone,Central,224,736.51,0
2022-03-27,Smartphone,East,211,618.66,0
2022-03-27,Smartphone,West,279,940.93,1
2022-03-27,Smartwatch,North,174,505.76,0
2022-03-27,Smartwatch,South,202,632.15,0
2022-03-27,Smartwatch,Central,254,149.29,0
2022-03-27,Smartwatch,East,149,583.66,1
2022-03-27,Smartwatch,West,117,411.71,0
2022-03-27,Tablet,North,183,302.14,0
2022-03-27,Tablet,South,283,226.77,0
2022-03-27,Tablet,Central,65,923.36,0
2022-03-27,Tablet,East,197,622.53,0
2022-03-27,Tablet,West,186,176.81,1
2022-03-27,Headphones,North,144,551.98,0
2022-03-27,Headphones,South,200,288.92,1
2022-03-27,Headphones,Central,198,284.63,0
2022-03-27,Headphones,East,198,608.36,0
2022-03-27,Headphones,West,172,797.97,0
2022-04-03,Smartphone,North,67,460.69,0
2022-04-03,Smartphone,South,254,239.72,0
2022-04-03,Smartphone,Central,129,679.6,0
2022-04-03,Smartphone,East,161,122.85,0
2022-04-03,Smartphone,West,246,124.39,0
2022-04-03,Smartwatch,North,263,307.97,0
2022-04-03,Smartwatch,South,173,687.47,0
2022-04-03,Smartwatch,Central,224,189.5,0
2022-04-03,Smartwatch,East,235,847.2,0
2022-04-03,Smartwatch,West,222,701.28,0
2022-04-03,Tablet,North,229,111.7,0
2022-04-03,Tablet,South,184,287.1,0
2022-04-03,Tablet,Central,216,479.28,1
2022-04-03,Tablet,East,137,835.7,0
2022-04-03,Tablet,West,164,631.27,0
2022-04-03,Headphones,North,129,661.73,0
2022-04-03,Headphones,South,95,365.02,1
2022-04-03,Headphones,Central,284,787.25,0
2022-04-03,Headphones,East,198,905.1,0
2022-04-03,Headphones,West,255,482.69,0
2022-04-10,Smartphone,North,215,670.13,0
2022-04-10,Smartphone,South,114,225.42,1
2022-04-10,Smartphone,Central,200,254.51,0
2022-04-10,Smartphone,East,217,116.55,1
2022-04-10,Smartphone,West,209,346.65,0
2022-04-10,Smartwatch,North,151,686.28,1
2022-04-10,Smartwatch,South,212,640.47,0
2022-04-10,Smartwatch,Central,249,257.83,1
2022-04-10,Smartwatch,East,107,567.03,0
2022-04-10,Smartwatch,West,136,249.66,0
2022-04-10,Tablet,North,209,320.81,0
2022-04-10,Tablet,South,162,359.82,0
2022-04-10,Tablet,Central,151,609.76,0
2022-04-10,Tablet,East,252,697.3,1
2022-04-10,Tablet,West,157,128.06,0
2022-04-10,Headphones,North,235,635.57,0
2022-04-10,Headphones,South,328,400.82,0
2022-04-10,Headphones,Central,195,195.94,0
2022-04-10,Headphones,East,198,719.56,0
2022-04-10,Headphones,West,288,321.76,1
2022-04-17,Smartphone,North,231,344.93,0
2022-04-17,Smartphone,South,248,424.88,0
2022-04-17,Smartphone,Central,196,266.62,0
2022-04-17,Smartphone,East,231,885.65,0
2022-04-17,Smartphone,West,227,723.05,1
2022-04-17,Smartwatch,North,254,324.7,0
2022-04-17,Smartwatch,South,221,262.52,0
2022-04-17,Smartwatch,Central,210,923.94,0
2022-04-17,Smartwatch,East,145,931.96,1
2022-04-17,Smartwatch,West,252,949.84,0
2022-04-17,Tablet,North,201,387.19,1
2022-04-17,Tablet,South,201,133.31,0
2022-04-17,Tablet,Central,178,169.26,0
2022-04-17,Tablet,East,184,405.89,0
2022-04-17,Tablet,West,190,585.54,0
2022-04-17,Headphones,North,178,386.88,0
2022-04-17,Headphones,South,213,309.66,0
2022-04-17,Headphones,Central,244,883.09,0
2022-04-17,Headphones,East,204,945.16,0
2022-04-17,Headphones,West,253,998.14,0
2022-04-24,Smartphone,North,174,531.89,0
2022-04-24,Smartphone,South,270,886.31,1
2022-04-24,Smartphone,Central,177,479.22,0
2022-04-24,Smartphone,East,272,314.9,0
2022-04-24,Smartphone,West,132,366.68,0
2022-04-24,Smartwatch,North,154,137.88,0
2022-04-24,Smartwatch,South,198,445.89,0
2022-04-24,Smartwatch,Central,211,296.43,1
2022-04-24,Smartwatch,East,249,950.26,0
2022-04-24,Smartwatch,West,189,652.07,0
2022-04-24,Tablet,North,208,646.96,0
2022-04-24,Tablet,South,224,307.6,0
2022-04-24,Tablet,Central,168,801.63,0
2022-04-24,Tablet,East,172,152.06,1
2022-04-24,Tablet,West,271,726.42,0
2022-04-24,Headphones,North,171,834.25,0
2022-04-24,Headphones,South,210,633.65,0
2022-04-24,Headphones,Central,124,182.34,1
2022-04-24,Headphones,East,169,899.87,1
2022-04-24,Headphones,West,180,875.91,1
2022-05-01,Smartphone,North,232,178.29,0
2022-05-01,Smartphone,South,300,435.42,0
2022-05-01,Smartphone,Central,198,172.94,0
2022-05-01,Smartphone,East,289,714.93,0
2022-05-01,Smartphone,West,199,532.53,0
2022-05-01,Smartwatch,North,259,842.21,0
2022-05-01,Smartwatch,South,234,340.33,1
2022-05-01,Smartwatch,Central,292,817.68,0
2022-05-01,Smartwatch,East,241,727.72,0
2022-05-01,Smartwatch,West,225,656.75,0
2022-05-01,Tablet,North,191,401.61,0
2022-05-01,Tablet,South,207,244.68,1
2022-05-01,Tablet,Central,201,105.75,0
2022-05-01,Tablet,East,263,655.23,1
2022-05-01,Tablet,West,132,670.61,0
2022-05-01,Headphones,North,237,801.86,0
2022-05-01,Headphones,South,212,966.69,0
2022-05-01,Headphones,Central,278,669.36,1
2022-05-01,Headphones,East,177,370.87,0
2022-05-01,Headphones,West,209,160.62,0
2022-05-08,Smartphone,North,259,141.17,1
2022-05-08,Smartphone,South,123,976.14,1
2022-05-08,Smartphone,Central,172,782.44,0
2022-05-08,Smartphone,East,218,119.91,0
2022-05-08,Smartphone,West,278,714.97,0
2022-05-08,Smartwatch,North,196,346.26,1
2022-05-08,Smartwatch,South,127,247.26,0
2022-05-08,Smartwatch,Central,90,724.31,0
2022-05-08,Smartwatch,East,212,689.06,0
2022-05-08,Smartwatch,West,171,955.78,0
2022-05-08,Tablet,North,232,477.75,0
2022-05-08,Tablet,South,195,457.83,0
2022-05-08,Tablet,Central,197,904.69,0
2022-05-08,Tablet,East,212,291.79,0
2022-05-08,Tablet,West,137,877.92,0
2022-05-08,Headphones,North,272,971.37,0
2022-05-08,Headphones,South,217,793.83,1
2022-05-08,Headphones,Central,222,784.92,0
2022-05-08,Headphones,East,209,816.88,0
2022-05-08,Headphones,West,235,205.58,0
2022-05-15,Smartphone,North,166,280.47,0
2022-05-15,Smartphone,South,290,157.79,0
2022-05-15,Smartphone,Central,242,379.33,0
2022-05-15,Smartphone,East,167,110.46,0
2022-05-15,Smartphone,West,177,640.02,0
2022-05-15,Smartwatch,North,78,725.48,1
2022-05-15,Smartwatch,South,151,317.84,1
2022-05-15,Smartwatch,Central,197,228.25,0
2022-05-15,Smartwatch,East,275,603.68,0
2022-05-15,Smartwatch,West,243,393.82,0
2022-05-15,Tablet,North,187,129.88,0
2022-05-15,Tablet,South,165,457.23,0
2022-05-15,Tablet,Central,289,820.53,0
2022-05-15,Tablet,East,232,250.73,0
2022-05-15,Tablet,West,269,128.43,1
2022-05-15,Headphones,North,246,146.77,0
2022-05-15,Headphones,South,234,742.68,1
2022-05-15,Headphones,Central,219,405.51,1
2022-05-15,Headphones,East,265,507.09,0
2022-05-15,Headphones,West,209,573.76,0
2022-05-22,Smartphone,North,167,884.61,0
2022-05-22,Smartphone,South,175,978.28,0
2022-05-22,Smartphone,Central,226,692.84,0
2022-05-22,Smartphone,East,171,599.83,0
2022-05-22,Smartphone,West,201,279.59,0
2022-05-22,Smartwatch,North,206,164.98,0
2022-05-22,Smartwatch,South,187,881.45,0
2022-05-22,Smartwatch,Central,116,768.44,0
2022-05-22,Smartwatch,East,138,988.88,0
2022-05-22,Smartwatch,West,126,880.33,0
2022-05-22,Tablet,North,284,538.0,1
2022-05-22,Tablet,South,177,910.63,0
2022-05-22,Tablet,Central,232,921.13,0
2022-05-22,Tablet,East,121,660.67,0
2022-05-22,Tablet,West,168,744.24,1
2022-05-22,Headphones,North,219,261.71,0
2022-05-22,Headphones,South,198,322.51,1
2022-05-22,Headphones,Central,258,500.77,0
2022-05-22,Headphones,East,257,247.17,0
2022-05-22,Headphones,West,113,972.47,0
2022-05-29,Smartphone,North,135,796.13,0
2022-05-29,Smartphone,South,258,972.84,0
2022-05-29,Smartphone,Central,203,403.3,1
2022-05-29,Smartphone,East,135,487.8,0
2022-05-29,Smartphone,West,275,250.34,0
2022-05-29,Smartwatch,North,242,133.0,0
2022-05-29,Smartwatch,South,183,859.75,1
2022-05-29,Smartwatch,Central,303,626.82,1
2022-05-29,Smartwatch,East,187,342.77,0
2022-05-29,Smartwatch,West,190,578.05,1
2022-05-29,Tablet,North,236,384.54,0
2022-05-29,Tablet,South,195,137.42,0
2022-05-29,Tablet,Central,245,509.27,0
2022-05-29,Tablet,East,217,539.96,0
2022-05-29,Tablet,West,255,281.67,0
2022-05-29,Headphones,North,148,972.92,0
2022-05-29,Headphones,South,168,881.33,0
2022-05-29,Headphones,Central,295,723.36,1
2022-05-29,Headphones,East,207,547.46,0
2022-05-29,Headphones,West,218,882.01,0
2022-06-05,Smartphone,North,255,294.11,0
2022-06-05,Smartphone,South,259,454.48,0
2022-06-05,Smartphone,Central,215,999.47,0
2022-06-05,Smartphone,East,162,979.46,0
2022-06-05,Smartphone,West,216,610.31,0
2022-06-05,Smartwatch,North,221,890.66,0
2022-06-05,Smartwatch,South,259,827.06,0
2022-06-05,Smartwatch,Central,138,818.03,0
2022-06-05,Smartwatch,East,192,590.04,0
2022-06-05,Smartwatch,West,206,392.13,0
2022-06-05,Tablet,North,279,449.7,0
2022-06-05,Tablet,South,157,313.79,0
2022-06-05,Tablet,Central,282,657.54,0
2022-06-05,Tablet,East,250,441.81,1
2022-06-05,Tablet,West,75,123.08,0
2022-06-05,Headphones,North,314,442.18,0
2022-06-05,Headphones,South,251,647.11,0
2022-06-05,Headphones,Central,321,831.69,0
2022-06-05,Headphones,East,237,319.13,1
2022-06-05,Headphones,West,214,154.24,1
2022-06-12,Smartphone,North,162,537.28,0
2022-06-12,Smartphone,South,185,356.39,0
2022-06-12,Smartphone,Central,208,380.18,0
2022-06-12,Smartphone,East,269,744.54,0
2022-06-12,Smartphone,West,150,263.03,0
2022-06-12,Smartwatch,North,188,263.29,0
2022-06-12,Smartwatch,South,169,610.58,0
2022-06-12,Smartwatch,Central,215,966.63,0
2022-06-12,Smartwatch,East,211,139.07,0
2022-06-12,Smartwatch,West,268,956.26,0
2022-06-12,Tablet,North,202,305.27,0
2022-06-12,Tablet,South,202,649.88,0
2022-06-12,Tablet,Central,137,802.47,0
2022-06-12,Tablet,East,165,840.35,0
2022-06-12,Tablet,West,166,661.47,0
2022-06-12,Headphones,North,213,627.95,0
2022-06-12,Headphones,South,231,295.07,0
2022-06-12,Headphones,Central,220,121.27,0
2022-06-12,Headphones,East,248,308.75,0
2022-06-12,Headphones,West,310,635.03,0
2022-06-19,Smartphone,North,159,485.38,0
2022-06-19,Smartphone,South,281,723.19,1
2022-06-19,Smartphone,Central,228,346.74,0
2022-06-19,Smartphone,East,281,177.09,1
2022-06-19,Smartphone,West,170,303.99,0
2022-06-19,Smartwatch,North,149,162.48,0
2022-06-19,Smartwatch,South,211,892.07,0
2022-06-19,Smartwatch,Central,122,579.66,0
2022-06-19,Smartwatch,East,261,994.73,0
2022-06-19,Smartwatch,West,139,602.01,0
2022-06-19,Tablet,North,164,606.07,1
2022-06-19,Tablet,South,197,257.77,0
2022-06-19,Tablet,Central,208,187.01,0
2022-06-19,Tablet,East,129,780.55,0
2022-06-19,Tablet,West,254,934.46,0
2022-06-19,Headphones,North,230,459.38,0
2022-06-19,Headphones,South,260,568.86,0
2022-06-19,Headphones,Central,207,180.21,0
2022-06-19,Headphones,East,206,803.83,0
2022-06-19,Headphones,West,192,132.54,0
2022-06-26,Smartphone,North,160,178.88,1
2022-06-26,Smartphone,South,133,598.42,0
2022-06-26,Smartphone,Central,144,640.53,0
2022-06-26,Smartphone,East,92,927.45,0
2022-06-26,Smartphone,West,204,442.56,1
2022-06-26,Smartwatch,North,195,881.25,1
2022-06-26,Smartwatch,South,166,172.83,0
2022-06-26,Smartwatch,Central,249,256.17,0
2022-06-26,Smartwatch,East,201,676.87,1
2022-06-26,Smartwatch,West,199,219.27,1
2022-06-26,Tablet,North,198,645.63,0
2022-06-26,Tablet,South,240,257.35,0
2022-06-26,Tablet,Central,146,430.78,0
2022-06-26,Tablet,East,184,123.23,0
2022-06-26,Tablet,West,202,969.24,0
2022-06-26,Headphones,North,226,380.63,0
2022-06-26,Headphones,South,153,676.74,0
2022-06-26,Headphones,Central,192,657.63,0
2022-06-26,Headphones,East,189,152.35,1
2022-06-26,Headphones,West,274,152.0,0
2022-07-03,Smartphone,North,169,722.95,0
2022-07-03,Smartphone,South,184,558.48,1
2022-07-03,Smartphone,Central,221,375.63,0
2022-07-03,Smartphone,East,259,574.34,0
2022-07-03,Smartphone,West,131,430.98,0
2022-07-03,Smartwatch,North,188,844.78,0
2022-07-03,Smartwatch,South,171,117.27,0
2022-07-03,Smartwatch,Central,70,784.26,0
2022-07-03,Smartwatch,East,126,110.91,0
2022-07-03,Smartwatch,West,209,978.29,1
2022-07-03,Tablet,North,199,198.76,0
2022-07-03,Tablet,South,228,508.94,1
2022-07-03,Tablet,Central,198,235.04,0
2022-07-03,Tablet,East,153,763.62,0
2022-07-03,Tablet,West,131,513.5,0
2022-07-03,Headphones,North,119,902.88,1
2022-07-03,Headphones,South,166,719.32,0
2022-07-03,Headphones,Central,251,329.2,1
2022-07-03,Headphones,East,307,693.42,1
2022-07-03,Headphones,West,169,673.0,0
2022-07-10,Smartphone,North,201,235.15,0
2022-07-10,Smartphone,South,162,561.0,0
2022-07-10,Smartphone,Central,181,164.13,0
2022-07-10,Smartphone,East,209,960.85,0
2022-07-10,Smartphone,West,132,414.73,0
2022-07-10,Smartwatch,North,151,695.23,0
2022-07-10,Smartwatch,South,259,338.54,0
2022-07-10,Smartwatch,Central,235,173.95,1
2022-07-10,Smartwatch,East,249,662.2,0
2022-07-10,Smartwatch,West,162,285.12,0
2022-07-10,Tablet,North,266,679.51,0
2022-07-10,Tablet,South,227,137.76,1
2022-07-10,Tablet,Central,167,981.97,0
2022-07-10,Tablet,East,246,624.18,0
2022-07-10,Tablet,West,226,215.29,0
2022-07-10,Headphones,North,253,935.28,0
2022-07-10,Headphones,South,147,495.46,0
2022-07-10,Headphones,Central,101,948.77,0
2022-07-10,Headphones,East,188,898.23,0
2022-07-10,Headphones,West,186,357.32,1
2022-07-17,Smartphone,North,191,779.54,0
2022-07-17,Smartphone,South,214,857.8,0
2022-07-17,Smartphone,Central,233,259.69,0
2022-07-17,Smartphone,East,258,986.2,1
2022-07-17,Smartphone,West,219,836.01,0
2022-07-17,Smartwatch,North,167,555.27,1
2022-07-17,Smartwatch,South,215,631.31,0
2022-07-17,Smartwatch,Central,285,367.79,0
2022-07-17,Smartwatch,East,237,672.66,0
2022-07-17,Smartwatch,West,219,244.06,0
2022-07-17,Tablet,North,189,820.06,0
2022-07-17,Tablet,South,157,599.58,0
2022-07-17,Tablet,Central,140,419.85,0
2022-07-17,Tablet,East,222,598.8,0
2022-07-17,Tablet,West,160,962.27,0
2022-07-17,Headphones,North,232,394.24,0
2022-07-17,Headphones,South,236,996.7,0
2022-07-17,Headphones,Central,181,503.75,0
2022-07-17,Headphones,East,211,452.37,0
2022-07-17,Headphones,West,246,726.06,0
2022-07-24,Smartphone,North,123,814.78,0
2022-07-24,Smartphone,South,263,629.38,0
2022-07-24,Smartphone,Central,171,621.99,0
2022-07-24,Smartphone,East,209,604.59,0
2022-07-24,Smartphone,West,251,342.84,1
2022-07-24,Smartwatch,North,229,548.43,0
2022-07-24,Smartwatch,South,191,806.41,0
2022-07-24,Smartwatch,Central,177,809.75,0
2022-07-24,Smartwatch,East,142,395.37,0
2022-07-24,Smartwatch,West,190,179.74,0
2022-07-24,Tablet,North,275,998.51,1
2022-07-24,Tablet,South,231,678.31,0
2022-07-24,Tablet,Central,261,206.5,0
2022-07-24,Tablet,East,229,855.82,0
2022-07-24,Tablet,West,294,266.03,0
2022-07-24,Headphones,North,277,401.06,0
2022-07-24,Headphones,South,207,368.85,1
2022-07-24,Headphones,Central,111,333.37,0
2022-07-24,Headphones,East,225,512.37,0
2022-07-24,Headphones,West,173,220.13,0
2022-07-31,Smartphone,North,198,493.17,0
2022-07-31,Smartphone,South,288,788.96,0
2022-07-31,Smartphone,Central,150,776.24,0
2022-07-31,Smartphone,East,215,960.95,0
2022-07-31,Smartphone,West,194,335.54,0
2022-07-31,Smartwatch,North,189,915.63,0
2022-07-31,Smartwatch,South,245,504.77,0
2022-07-31,Smartwatch,Central,159,158.83,0
